Month,incidents,demand_points,high_harm_incidents
2023-04,31289.0,104041.9,14033.0
2023-05,30589.0,102462.8,14082.0
2023-06,31521.0,104377.2,14426.0
2023-07,31601.0,103788.6,14069.0
2023-08,29958.0,96059.5,12642.0
2023-09,29671.0,97249.0,13132.0
2023-10,30836.0,101003.8,13462.0
2023-11,28269.0,93515.5,12490.0
2023-12,28058.0,94718.6,12961.0
2024-01,27500.0,90035.7,11804.0
2024-02,26067.0,86408.1,11698.0
2024-03,28383.0,93576.2,12629.0
2024-04,28495.0,92216.9,12204.0
2024-05,31037.0,100814.0,13615.0
2024-06,29865.0,97079.1,13105.0
2024-07,31636.0,101211.2,13437.0
2024-08,29180.0,91878.7,12122.0
2024-09,28635.0,91190.8,12005.0
2024-10,29074.0,92447.9,12171.0
2024-11,26571.0,85496.0,11398.0
2024-12,25723.0,84409.6,11494.0
2025-01,25601.0,84027.0,11460.0
2025-02,24624.0,79502.0,10681.0
2025-03,27967.0,90437.3,12294.0
2025-04,27296.0,87479.4,11737.0
2025-05,28292.0,91653.0,12433.0
2025-06,28708.0,94479.1,13156.0
2025-07,29191.0,96727.1,13477.0
2025-08,27312.0,89477.5,12198.0
2025-09,26066.0,87045.2,11957.0
2025-10,27012.0,89314.3,12108.0
2025-11,25815.0,85859.2,11546.0
2025-12,24353.0,82914.7,11517.0
2026-01,24341.0,82918.1,11478.0
2026-02,23783.0,80232.8,11012.0
2026-03,27190.0,92164.9,12826.0
